General : End date,17/04/2023,,,
General : Excluded,FALSE,,,
General : Specimen number (included),10,,,
General : Start date,17/04/2023,,,
General : System ID,5544H1816,,,
General : Unique identifier,{8650C6E3-BA5D-47C9-9392-379ED1594FFC},,,
Strain : Compressive strain (Extension) gauge length,100,mm,,
Strain : Time at removal,,s,,
Specimen text inputs : Specimen text input  1,fsr_no_pluck_10_repeat,,,
,,,,
Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
37.7,2.10313,62.81298,0,0
37.8,2.10708,63.0858,0,0
37.9,2.11125,63.36634,0,0
38,2.11542,63.64943,0,0
38.1,2.11875,63.87893,0,0
38.2,2.12104,64.01955,0,0
38.3,2.12271,64.1147,0,0
38.4,2.12438,64.19968,0,0
38.5,2.12563,64.25736,0,0
38.6,2.12667,64.3052,0,0
38.7,2.12813,64.36958,0,0
38.8,2.12958,64.4537,0,0
38.9,2.13125,64.55843,0,0
39,2.13354,64.68387,0,0
39.1,2.13708,64.90164,0,0
39.2,2.14125,65.18687,0,0
39.3,2.14583,65.5225,0,0
39.4,2.15063,65.86349,0,0
39.5,2.15521,66.18157,0,0
39.6,2.15917,66.46805,0,0
39.7,2.16167,66.61795,0,0
39.8,2.16354,66.73047,0,0
39.9,2.165,66.81393,0,0
40,2.16625,66.87599,0,0
40.1,2.16771,66.93475,0,0
40.2,2.16896,67.00754,0,0
40.3,2.17063,67.09439,0,0
40.4,2.17229,67.18629,0,0
40.5,2.17438,67.31824,0,0
40.6,2.1775,67.51588,0,0
40.7,2.18104,67.75615,0,0
40.8,2.18563,68.06757,0,0
40.9,2.19,68.39669,0,0
41,2.19375,68.65474,0,0
41.1,2.19688,68.88637,0,0
41.2,2.19917,69.04252,0,0
41.3,2.20063,69.11835,0,0
41.4,2.20208,69.18843,0,0
41.5,2.20354,69.26312,0,0
41.6,2.20479,69.33138,0,0
41.7,2.20604,69.39458,0,0
41.8,2.2075,69.4813,0,0
41.9,2.20917,69.5812,0,0
42,2.21125,69.70028,0,0
42.1,2.21417,69.88053,0,0
42.2,2.21792,70.14808,0,0
42.3,2.22292,70.49089,0,0
42.4,2.22813,70.882,0,0
42.5,2.2325,71.22215,0,0
42.6,2.23604,71.47218,0,0
42.7,2.23813,71.62336,0,0
42.8,2.23958,71.68822,0,0
42.9,2.24063,71.72829,0,0
43,2.24167,71.76978,0,0
43.1,2.24271,71.81959,0,0
43.2,2.24375,71.8802,0,0
43.3,2.245,71.93542,0,0
43.4,2.24646,72.01665,0,0
43.5,2.24833,72.13469,0,0
43.6,2.25042,72.26958,0,0
43.7,2.25333,72.45586,0,0
43.8,2.25771,72.75214,0,0
43.9,2.26333,73.15823,0,0
44,2.26917,73.61321,0,0
44.1,2.27375,73.9651,0,0
44.2,2.27688,74.21118,0,0
44.3,2.27854,74.3277,0,0
44.4,2.27979,74.37573,0,0
44.5,2.28083,74.41827,0,0
44.6,2.28188,74.45696,0,0
44.7,2.28292,74.50607,0,0
44.8,2.28375,74.5543,0,0
44.9,2.285,74.61073,0,0
45,2.28646,74.69641,0,0
45.1,2.28813,74.80955,0,0
45.2,2.29042,74.94012,0,0
45.3,2.29333,75.1429,0,0
45.4,2.29729,75.42098,0,0
45.5,2.30271,75.80377,0,0
45.6,2.30896,76.28123,0,0
45.7,2.31458,76.74519,0,0
45.8,2.31813,77.0305,0,0
45.9,2.31979,77.13953,0,0
46,2.32104,77.1957,0,0
46.1,2.32208,77.23342,0,0
46.2,2.32292,77.26701,0,0
46.3,2.32375,77.28993,0,0
46.4,2.32438,77.31264,0,0
46.5,2.32521,77.34908,0,0
46.6,2.32646,77.40791,0,0
46.7,2.32792,77.49603,0,0
46.8,2.32958,77.60496,0,0
46.9,2.33167,77.74433,0,0
47,2.335,77.95027,0,0
47.1,2.33917,78.2653,0,0
47.2,2.345,78.70232,0,0
47.3,2.35083,79.17778,0,0
47.4,2.35563,79.55945,0,0
47.5,2.35833,79.76981,0,0
47.6,2.36,79.86832,0,0
47.7,2.36125,79.92646,0,0
47.8,2.36229,79.96975,0,0
47.9,2.36292,79.99716,0,0
48,2.36375,80.01739,0,0
48.1,2.36458,80.04889,0,0
48.2,2.36562,80.10691,0,0
48.3,2.36708,80.19304,0,0
48.4,2.36854,80.28897,0,0
48.5,2.37063,80.42416,0,0
48.6,2.37375,80.63403,0,0
48.7,2.37792,80.94279,0,0
48.8,2.38354,81.36045,0,0
48.9,2.38958,81.83891,0,0
49,2.39458,82.26566,0,0
49.1,2.3975,82.50391,0,0
49.2,2.39917,82.59621,0,0
49.3,2.40021,82.6442,0,0
49.4,2.40104,82.67707,0,0
49.5,2.40188,82.70266,0,0
49.6,2.4025,82.72851,0,0
49.7,2.40313,82.7453,0,0
49.8,2.40417,82.77991,0,0
49.9,2.40521,82.84143,0,0
50,2.40667,82.93488,0,0
50.1,2.40833,83.05475,0,0
50.2,2.41042,83.18423,0,0
50.3,2.41313,83.37361,0,0
50.4,2.41729,83.68024,0,0
50.5,2.42208,84.0603,0,0
50.6,2.42813,84.52509,0,0
50.7,2.43375,85.00227,0,0
50.8,2.43729,85.32021,0,0
50.9,2.43917,85.43302,0,0
51,2.44042,85.49673,0,0
51.1,2.44125,85.53296,0,0
51.2,2.44208,85.55875,0,0
51.3,2.44271,85.57076,0,0
51.4,2.44333,85.58746,0,0
51.5,2.44417,85.62082,0,0
51.6,2.44521,85.67403,0,0
51.7,2.44646,85.75448,0,0
51.8,2.44813,85.86088,0,0
51.9,2.45,85.98694,0,0
52,2.4525,86.16788,0,0
52.1,2.45667,86.4712,0,0
52.2,2.46188,86.89138,0,0
52.3,2.46833,87.39684,0,0
52.4,2.47417,87.91993,0,0
52.5,2.47729,88.2048,0,0
52.6,2.47896,88.29867,0,0
52.7,2.47979,88.33748,0,0
52.8,2.48063,88.35406,0,0
52.9,2.48125,88.37053,0,0
53,2.48187,88.38526,0,0
53.1,2.4825,88.39223,0,0
53.2,2.48333,88.41648,0,0
53.3,2.48417,88.46425,0,0
53.4,2.48542,88.54382,0,0
53.5,2.48688,88.64242,0,0
53.6,2.48854,88.74936,0,0
53.7,2.49083,88.90094,0,0
53.8,2.49458,89.18499,0,0
53.9,2.49979,89.59022,0,0
54,2.50604,90.06693,0,0
54.1,2.51333,90.70883,0,0
54.2,2.51813,91.16571,0,0
54.3,2.52063,91.35461,0,0
54.4,2.52208,91.43186,0,0
54.5,2.52271,91.43951,0,0
54.6,2.52333,91.43389,0,0
54.7,2.52375,91.42747,0,0
54.8,2.52417,91.42815,0,0
54.9,2.52479,91.43864,0,0
55,2.52562,91.47363,0,0
55.1,2.52667,91.52898,0,0
55.2,2.52771,91.58837,0,0
55.3,2.52938,91.69242,0,0
55.4,2.53146,91.84292,0,0
55.5,2.53479,92.08727,0,0
55.6,2.53917,92.43454,0,0
55.7,2.54563,92.95731,0,0
55.8,2.55313,93.61098,0,0
55.9,2.55729,94.02372,0,0
56,2.55938,94.17151,0,0
56.1,2.56042,94.22842,0,0
56.2,2.56125,94.24583,0,0
56.3,2.56167,94.23871,0,0
56.4,2.56208,94.22808,0,0
56.5,2.5625,94.22397,0,0
56.6,2.56313,94.2358,0,0
56.7,2.56396,94.26894,0,0
56.8,2.565,94.33086,0,0
56.9,2.56625,94.40172,0,0
57,2.5675,94.49676,0,0
57.1,2.56958,94.6351,0,0
57.2,2.57271,94.87395,0,0
57.3,2.57729,95.24067,0,0
57.4,2.58313,95.74708,0,0
57.5,2.59063,96.39693,0,0
57.6,2.59604,96.93804,0,0
57.7,2.59854,97.14291,0,0
57.8,2.6,97.2173,0,0
57.9,2.60063,97.23145,0,0
58,2.60104,97.21909,0,0
58.1,2.60146,97.19554,0,0
58.2,2.60167,97.17373,0,0
58.3,2.60208,97.16329,0,0
58.4,2.60271,97.17151,0,0
58.5,2.60333,97.20845,0,0
58.6,2.60458,97.27461,0,0
58.7,2.60563,97.35492,0,0
58.8,2.60708,97.45511,0,0
58.9,2.60938,97.62379,0,0
59,2.61271,97.87621,0,0
59.1,2.61667,98.22001,0,0
59.2,2.62146,98.62794,0,0
59.3,2.62729,99.14217,0,0
59.4,2.63333,99.68417,0,0
59.5,2.63646,99.98994,0,0
59.508,2.63667,100.002,0,0
59.51,2.63667,100.005,0,0
59.546,2.6375,100.05114,0,0
59.646,2.63917,100.14732,0,0
59.746,2.64062,100.25647,0,0
59.846,2.64146,100.2793,0,0
59.946,2.64188,100.27722,0,0
60.046,2.64229,100.26463,0,0
60.146,2.6425,100.24046,0,0
60.246,2.64271,100.21335,0,0
60.346,2.64271,100.18703,0,0
60.446,2.64292,100.15696,0,0
60.546,2.64292,100.13052,0,0
60.646,2.64313,100.10249,0,0
60.746,2.64313,100.07446,0,0
60.846,2.64313,100.04971,0,0
60.946,2.64333,100.02526,0,0
61.046,2.64333,100.00426,0,0
61.146,2.64333,99.98143,0,0
61.246,2.64354,99.96004,0,0
61.346,2.64354,99.94521,0,0
61.446,2.64375,99.92754,0,0
61.546,2.64375,99.91275,0,0
61.646,2.64396,99.90152,0,0
61.746,2.64396,99.89192,0,0
61.846,2.64417,99.88195,0,0
61.946,2.64438,99.86736,0,0
62.046,2.64458,99.86755,0,0
62.146,2.64479,99.86966,0,0
62.246,2.645,99.86919,0,0
62.346,2.64521,99.8761,0,0
62.446,2.64542,99.87966,0,0
62.546,2.64563,99.87675,0,0
62.646,2.64583,99.87693,0,0
62.746,2.64604,99.87726,0,0
62.846,2.64625,99.88303,0,0
62.946,2.64667,99.89455,0,0
63.046,2.64688,99.90682,0,0
63.146,2.64729,99.9224,0,0
63.246,2.6475,99.93651,0,0
63.346,2.64792,99.94869,0,0
63.446,2.64813,99.96111,0,0
63.546,2.64854,99.9716,0,0
63.646,2.64875,99.98143,0,0
63.746,2.64896,99.99053,0,0
63.846,2.64937,99.99994,0,0
63.946,2.64958,100.00714,0,0
64.046,2.64979,100.01339,0,0
64.146,2.65,100.021,0,0
64.246,2.65021,100.02663,0,0
64.346,2.65042,100.03236,0,0
64.446,2.65062,100.03982,0,0
64.546,2.65083,100.04514,0,0
64.646,2.65104,100.04807,0,0
64.746,2.65125,100.05238,0,0
64.846,2.65146,100.05535,0,0
64.946,2.65167,100.0556,0,0
65.046,2.65188,100.05832,0,0
65.146,2.65188,100.05633,0,0
65.246,2.65208,100.05296,0,0
65.346,2.65229,100.05181,0,0
65.446,2.65229,100.04736,0,0
65.546,2.6525,100.04312,0,0
65.646,2.6525,100.03745,0,0
65.746,2.6525,100.03069,0,0
65.846,2.65271,100.02424,0,0
65.946,2.65271,100.01837,0,0
66.046,2.65271,100.01083,0,0
66.146,2.65292,100.0035,0,0
66.246,2.65292,99.9973,0,0
66.346,2.65292,99.99143,0,0
66.446,2.65313,99.9846,0,0
66.546,2.65313,99.98096,0,0
66.646,2.65313,99.97617,0,0
66.746,2.65333,99.97276,0,0
66.846,2.65333,99.96914,0,0
66.946,2.65354,99.96611,0,0
67.046,2.65354,99.96546,0,0
67.146,2.65375,99.96413,0,0
67.246,2.65375,99.96418,0,0
67.346,2.65396,99.96504,0,0
67.446,2.65417,99.96827,0,0
67.546,2.65417,99.96995,0,0
67.646,2.65438,99.9743,0,0
67.746,2.65458,99.97886,0,0
67.846,2.65479,99.98573,0,0
67.946,2.655,99.99113,0,0
68.046,2.655,99.99985,0,0
68.146,2.65521,100.00879,0,0
68.246,2.65542,100.01514,0,0
68.346,2.65563,100.02359,0,0
68.446,2.65583,100.02995,0,0
68.546,2.65604,100.03928,0,0
68.646,2.65625,100.04516,0,0
68.746,2.65646,100.0512,0,0
68.846,2.65646,100.05726,0,0
68.946,2.65667,100.06239,0,0
69.046,2.65688,100.06703,0,0
69.146,2.65688,100.06689,0,0
69.246,2.65708,100.07069,0,0
69.346,2.65729,100.07205,0,0
69.446,2.65729,100.07204,0,0
69.546,2.65729,100.07002,0,0
69.646,2.6575,100.06901,0,0
69.746,2.6575,100.06729,0,0
69.846,2.65771,100.06494,0,0
69.946,2.65771,100.06296,0,0
70.046,2.65771,100.05751,0,0
70.146,2.65792,100.05644,0,0
70.246,2.65792,100.05086,0,0
70.346,2.65792,100.045,0,0
70.446,2.65792,100.04111,0,0
70.546,2.65812,100.03407,0,0
70.646,2.65812,100.01091,0,0
70.746,2.65812,100.00303,0,0
70.846,2.65812,99.98939,0,0
70.946,2.65812,99.97977,0,0
71.046,2.65833,99.97678,0,0
71.146,2.65833,99.97236,0,0
71.246,2.65833,99.94282,0,0
71.346,2.65854,99.89425,0,0
71.446,2.65854,99.87522,0,0
71.546,2.65875,99.87939,0,0
71.646,2.65896,99.87028,0,0
71.746,2.65896,99.86193,0,0
71.846,2.65917,99.878,0,0
71.946,2.65958,99.89491,0,0
72.046,2.65979,99.91913,0,0
72.146,2.66,99.93974,0,0
72.246,2.66021,99.95868,0,0
72.346,2.66063,99.97648,0,0
72.446,2.66083,100.00097,0,0
72.546,2.66125,100.02628,0,0
72.646,2.66146,100.05257,0,0
72.746,2.66188,100.07843,0,0
72.846,2.66229,100.10266,0,0
72.946,2.6625,100.13211,0,0
73.046,2.66271,100.14925,0,0
73.146,2.66313,100.16623,0,0
73.246,2.66333,100.18069,0,0
73.346,2.66333,100.18549,0,0
73.446,2.66354,100.19226,0,0
73.546,2.66354,100.19362,0,0
73.646,2.66375,100.19086,0,0
73.746,2.66375,100.18963,0,0
73.846,2.66375,100.1851,0,0
73.946,2.66375,100.17982,0,0
74.046,2.66396,100.17391,0,0
74.146,2.66396,100.16783,0,0
74.246,2.66396,100.15863,0,0
74.346,2.66396,100.15138,0,0
